pattern,found
"$xmlTag = ""UniqueID"";",no
$strAdId,yes
"$xmlTag = ""PostDate"";",no
$strDeathNoticeDate,yes
"$xmlTag = ""EndDate"";",no
$strStopDate,yes
"$xmlTag = ""NoticeType"";",no
$strNoticeType,yes
"$xmlTag = ""Email"";",no
$strEmail,yes
"$xmlTag = ""Email"";",no
$strEmail,yes
"$xmlTag = ""FuneralHome"";",no
$strFuneralHome,yes
"$xmlTag = ""FuneralHomeAddress"";",yes
$strFuneralHomeAddr,yes
"$xmlTag = ""FuneralHomeCity"";",yes
$strFuneralHomeCity,yes
"$xmlTag = ""Notice"";",no
$strDeathNotice,yes
"$xmlTag = ""fullname"";",no
$strDeathNoticeName,yes
"$xmlTag = ""City"";",yes
$strCity,yes
"$xmlTag = ""State"";",yes
$strState,yes
"$xmlTag = ""DateBorn"";",no
$strYearBorn,yes
"$xmlTag = ""DateDeceased"";",no
$strYearDeceased,yes
"$xmlTag = ""Spotlight"";",no
$intShowInSpotlight,yes
"$xmlTag = ""DateDeceased"";",no
$strDateOfDeath,yes
