pattern,found
"$xmlTag = ""UniqueID"";",no
$strAdId,yes
"$xmlTag = ""PostDate"";",no
$strDeathNoticeDate,yes
"$xmlTag = ""EndDate"";",no
$strStopDate,yes
"$xmlTag = ""NoticeType"";",no
$strNoticeType,yes
"$xmlTag = ""Email"";",no
$strEmail,yes
"$xmlTag = ""Email"";",no
$strEmail,yes
"$xmlTag = ""FuneralHome"";",no
$strFuneralHome,yes
"$xmlTag = ""FuneralHomeAddress"";",no
$strFuneralHomeAddr,no
"$xmlTag = ""FuneralHomeCity"";",no
$strFuneralHomeCity,no
"$xmlTag = ""Notice"";",no
$strDeathNotice,yes
"$xmlTag = ""fullname"";",no
$strDeathNoticeName,yes
"$xmlTag = ""City"";",no
$strCity,yes
"$xmlTag = ""State"";",no
$strState,yes
"$xmlTag = ""DateBorn"";",no
$strYearBorn,yes
"$xmlTag = ""DateDeceased"";",no
$strYearDeceased,yes
"$xmlTag = ""Spotlight"";",no
$intShowInSpotlight,yes
"$xmlTag = ""DateDeceased"";",no
$strDateOfDeath,no
