pattern,found
"$xmlTag = ""UniqueID"";",False
$strAdId,True
"$xmlTag = ""PostDate"";",False
$strDeathNoticeDate,True
"$xmlTag = ""EndDate"";",False
$strStopDate,True
"$xmlTag = ""NoticeType"";",False
$strNoticeType,True
"$xmlTag = ""Email"";",False
$strEmail,True
"$xmlTag = ""Email"";",False
$strEmail,True
"$xmlTag = ""FuneralHome"";",False
$strFuneralHome,True
"$xmlTag = ""FuneralHomeAddress"";",False
$strFuneralHomeAddr,False
"$xmlTag = ""FuneralHomeCity"";",False
$strFuneralHomeCity,False
"$xmlTag = ""Notice"";",False
$strDeathNotice,True
"$xmlTag = ""fullname"";",False
$strDeathNoticeName,True
"$xmlTag = ""City"";",True
$strCity,True
"$xmlTag = ""State"";",True
$strState,True
"$xmlTag = ""DateBorn"";",False
$strYearBorn,True
"$xmlTag = ""DateDeceased"";",False
$strYearDeceased,True
"$xmlTag = ""Spotlight"";",True
$intShowInSpotlight,True
"$xmlTag = ""DateDeceased"";",False
$strDateOfDeath,False
