pattern,found
"$xmlTag = ""UniqueID"";",yes
$strAdId,yes
"$xmlTag = ""PostDate"";",yes
$strDeathNoticeDate,yes
"$xmlTag = ""EndDate"";",yes
$strStopDate,yes
"$xmlTag = ""NoticeType"";",yes
$strNoticeType,yes
"$xmlTag = ""Email"";",yes
$strEmail,yes
"$xmlTag = ""Email"";",yes
$strEmail,yes
"$xmlTag = ""FuneralHome"";",yes
$strFuneralHome,yes
"$xmlTag = ""FuneralHomeAddress"";",yes
$strFuneralHomeAddr,yes
"$xmlTag = ""FuneralHomeCity"";",yes
$strFuneralHomeCity,yes
"$xmlTag = ""Notice"";",yes
$strDeathNotice,yes
"$xmlTag = ""fullname"";",yes
$strDeathNoticeName,yes
"$xmlTag = ""City"";",yes
$strCity,yes
"$xmlTag = ""State"";",yes
$strState,yes
"$xmlTag = ""DateBorn"";",yes
$strYearBorn,yes
"$xmlTag = ""DateDeceased"";",yes
$strYearDeceased,yes
"$xmlTag = ""Spotlight"";",yes
$intShowInSpotlight,yes
"$xmlTag = ""DateDeceased"";",yes
$strDateOfDeath,yes
