pattern,found
"$xmlTag = ""UniqueID"";",True
$strAdId,True
"$xmlTag = ""PostDate"";",True
$strDeathNoticeDate,True
"$xmlTag = ""EndDate"";",True
$strStopDate,True
"$xmlTag = ""NoticeType"";",True
$strNoticeType,True
"$xmlTag = ""Email"";",True
$strEmail,True
"$xmlTag = ""Email"";",True
$strEmail,True
"$xmlTag = ""FuneralHome"";",True
$strFuneralHome,True
"$xmlTag = ""FuneralHomeAddress"";",True
$strFuneralHomeAddr,True
"$xmlTag = ""FuneralHomeCity"";",True
$strFuneralHomeCity,True
"$xmlTag = ""Notice"";",True
$strDeathNotice,True
"$xmlTag = ""fullname"";",True
$strDeathNoticeName,True
"$xmlTag = ""City"";",True
$strCity,True
"$xmlTag = ""State"";",True
$strState,True
"$xmlTag = ""DateBorn"";",True
$strYearBorn,True
"$xmlTag = ""DateDeceased"";",True
$strYearDeceased,True
"$xmlTag = ""Spotlight"";",True
$intShowInSpotlight,True
"$xmlTag = ""DateDeceased"";",True
$strDateOfDeath,True
